CONTINENTE;PAÍS;CAPITAL
EUROPA;ALBANIA;TIRANA
EUROPA;ALEMANIA;BERLÍN
EUROPA;ANDORRA;ANDORRA LA VIEJA
EUROPA;ARMENIA;EREVÁN
EUROPA;AUSTRIA;VIENA
EUROPA;AZERBAIYÁN;BAKÚ
EUROPA;BÉLGICA;BRUSELAS
EUROPA;BIELORRUSIA;MINSK
EUROPA;BOSNIA Y HERZEGOVINA;SARAJEVO
EUROPA;BULGARIA;SOFÍA
EUROPA;REPÚBLICA CHECA;PRAGA
EUROPA;CROACIA;ZAGREB
EUROPA;DINAMARCA;COPENHAGUE
EUROPA;ESLOVAQUIA;BRATISLAVA
EUROPA;ESLOVENIA;LUBLIJANA
EUROPA;ESPAÑA;MADRID
EUROPA;ESTONIA;TALLÍN
EUROPA;FINLANDIA;HELSINKI
EUROPA;FRANCIA;PARÍS
EUROPA;GEORGIA;TIFLIS
EUROPA;GRECIA;ATENAS
EUROPA;HUNGRÍA;BUDAPEST
EUROPA;IRLANDA;DUBLÍN
EUROPA;ISLANDIA;REIKIAVIK
EUROPA;ITALIA;ROMA
EUROPA;LETONIA;RIGA
EUROPA;LIECHTENSTEIN;VADUZ
EUROPA;LITUANIA;VILNA
EUROPA;LUXEMBURGO;LUXEMBURGO
EUROPA;REPÚBLICA DE MACEDONIA;SKOPJE
EUROPA;MALTA;LA VALETA
EUROPA;MOLDAVIA;CHISINAU
EUROPA;MÓNACO;MÓNACO
EUROPA;MONTENEGRO;PODGORICA
EUROPA;NORUEGA;OSLO
EUROPA;PAÍSES BAJOS;AMSTERDAM
EUROPA;POLONIA;VARSOVIA
EUROPA;PORTUGAL;LISBOA
EUROPA;REINO UNIDO;LONDRES
EUROPA;RUMANIA;BUCAREST
EUROPA;RUSIA;MOSCÚ
EUROPA;SAN MARINO;CIUDAD DE SAN MARINO
EUROPA;SERBIA;BELGRADO
EUROPA;SUECIA;ESTOCOLMO
EUROPA;SUIZA;BERNA
EUROPA;UCRANIA;KIEV
EUROPA;VATICANO;CIUDAD DEL VATICANO
