id_local;id_distrito_local;desc_distrito_local;id_barrio_local;desc_barrio_local;cod_barrio_local;id_seccion_censal_local;desc_seccion_censal_local;coordenada_x_local;coordenada_y_local;id_tipo_acceso_local;desc_tipo_acceso_local;id_situacion_local;desc_situacion_local;id_vial_edificio;clase_vial_edificio;desc_vial_edificio;id_ndp_edificio;id_clase_ndp_edificio;nom_edificio;num_edificio;cal_edificio;secuencial_local_PC;id_vial_acceso;clase_vial_acceso;desc_vial_acceso;id_ndp_acceso;id_clase_ndp_acceso;nom_acceso;num_acceso;cal_acceso;coordenada_x_agrupacion;coordenada_y_agrupacion;id_agrupacion;nombre_agrupacion;id_tipo_agrup;desc_tipo_agrup;id_planta_agrupado;id_local_agrupado;rotulo;id_seccion;desc_seccion;id_division;desc_division;id_epigrafe;desc_epigrafe;fx_carga;fx_datos_ini;fx_datos_fin
10000003;1;CENTRO              ;104;JUSTICIA            ;4;1088;88;440554.6;4475338.5;1;Puerta Calle;1;Abierto;92900;CALLE                   ;BARCELO                                           ;11005235;1;NUM;5;  ;10;92900;CALLE                   ;BARCELO                                           ;11005235;1;NUM;5;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;3;VITACA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561006;CAFETERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000004;1;CENTRO              ;105;UNIVERSIDAD         ;5;1106;106;439945.6;4475591.5;1;Puerta Calle;1;Abierto;4700;CALLE                   ;ACUERDO                                           ;11006452;1;NUM;31;  ;10;4700;CALLE                   ;ACUERDO                                           ;11006452;1;NUM;31;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;2;CAMDEN COFFEE ROASTERS              ;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561006;CAFETERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000097;1;CENTRO              ;104;JUSTICIA            ;4;1077;77;440851.6;4474857.5;1;Puerta Calle;1;Abierto;81800;CALLE                   ;AUGUSTO FIGUEROA                                  ;11004589;1;NUM;37;  ;20;437400;CALLE                   ;LIBERTAD                                          ;11004588;1;NUM;31;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;2;GRACIAS, PADRE;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561001;RESTAURANTE;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000102;1;CENTRO              ;106;SOL                 ;6;1123;123;440208.6;4474240.5;1;Puerta Calle;1;Abierto;68300;CALLE                   ;ARENAL                                            ;11007806;1;NUM;1;  ;30;614900;PLAZA                   ;PUERTA DEL SOL                                    ;20006804;1;NUM;8;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;1;LA MALLORQUINA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561006;CAFETERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000105;1;CENTRO              ;104;JUSTICIA            ;4;1084;84;440958.6;4475092.5;1;Puerta Calle;1;Abierto;99100;CALLE                   ;BELEN                                             ;11005014;1;NUM;13;  ;10;99100;CALLE                   ;BELEN                                             ;11005014;1;NUM;13;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;IZ;LA MORDIDA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561001;RESTAURANTE;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000150;1;CENTRO              ;106;SOL                 ;6;1121;121;440044.6;4474063.5;1;Puerta Calle;1;Abierto;498000;PLAZA                   ;MAYOR                                             ;11007683;1;NUM;1;  ;10;498000;PLAZA                   ;MAYOR                                             ;11007683;1;NUM;1;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;4;CAFE LOS ARCOS BAR;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561005;BAR CON COCINA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000226;1;CENTRO              ;102;EMBAJADORES         ;2;1059;59;0.0;0.0;0;Agrupado;1;Abierto;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;0;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;440706.6;4473659.5;99000065;MERCADO MUNICIPAL ANTON MARTIN;12;Mercado Municipal;PB;40;CARNICERIA M LOPEZ;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472201;COMERCIO AL POR MENOR DE CARNICERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000238;1;CENTRO              ;102;EMBAJADORES         ;2;1059;59;0.0;0.0;0;Agrupado;4;Cerrado;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;0;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;440706.6;4473659.5;99000065;MERCADO MUNICIPAL ANTON MARTIN;12;Mercado Municipal;SO;13;CARNICERIA MARIANO ARAUJO;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472201;COMERCIO AL POR MENOR DE CARNICERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000258;1;CENTRO              ;106;SOL                 ;6;1123;123;440127.6;4474277.5;1;Puerta Calle;1;Abierto;68300;CALLE                   ;ARENAL                                            ;11007805;1;NUM;7;  ;20;68300;CALLE                   ;ARENAL                                            ;11007805;1;NUM;7;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;2;EL PATIO;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;471902;COMERCIO AL POR MENOR DE PRODUCTOS DE PRECIO UNICO, BAZARES Y ASIMILABLES;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
20000967;2;ARGANZUELA          ;203;CHOPERA             ;3;2032;32;440659.6;4472419.5;1;Puerta Calle;1;Abierto;262000;CALLE                   ;EMBAJADORES                                       ;11008713;1;NUM;114;  ;40;697175;GLORIETA                ;SANTA MARIA DE LA CABEZA                          ;20007470;1;NUM;8;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;7;LA SORIANITA;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472401;COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
